"data","volumeOperacional","pluviometria","temperaturaMedia","diferenca","medMov.pluviometria","medMov.diferenca","medMov.temperatura","predito","volumeOperacionalPredito"
"2011-11-17",674.50984,0.05,17,4.41166000000009,8.83,-0.068768,20.4666666666667,0.215164964166665,NA
"2011-11-18",674.90104,0.05,18,0.391199999999912,8.83333333333334,0.102346666666661,20.6,0.276269905555553,NA
"2011-11-19",675.73995,0,18,0.838910000000055,8.83333333333334,0.329886666666667,20.6,0.276269905555553,NA
"2011-11-20",675.20738,0,20,-0.532570000000077,8.83333333333334,0.393061999999993,20.5333333333333,0.306326474999997,NA
"2011-11-21",674.38788,0,24,-0.819499999999948,8.83333333333334,0.484954,20.7333333333333,0.737106119999999,NA
"2011-11-22",672.52337,0.1,23,-1.86450999999999,8.84,0.507697999999997,20.8666666666667,1.39116063722222,NA
"2011-11-23",672.06483,13.15,20,-0.45853999999997,9.08333333333334,0.616635333333336,20.7333333333333,0.844095830833333,NA
"2011-11-24",670.75961,0,22,-1.30522000000007,9.08333333333334,0.704938666666665,20.6666666666667,0.862388440555555,NA
"2011-11-25",669.57925,0,24,-1.18035999999995,9.00333333333333,0.775092666666667,20.5333333333333,0.843977196666666,NA
"2011-11-26",667.41061,0,23,-2.16863999999998,8.98,0.807661333333332,20.5333333333333,0.730471439722221,NA
"2011-11-27",669.54386,25.6,22,2.13324999999997,10.6833333333333,1.09849866666666,20.5333333333333,1.10597849666666,NA
"2011-11-28",669.70067,2.45,23,0.15680999999995,10.56,1.13512799999999,20.6666666666667,2.0458791675,NA
"2011-11-29",668.37794,0,22,-1.32272999999997,6.99666666666667,0.811614666666666,20.8,1.40908963055555,NA
"2011-11-30",668.33802,3.35,24,-0.0399199999999382,6.34,0.553554,21.1333333333333,0.693336366666666,NA
"2011-12-01",668.39509,9.4,23,0.0570699999999533,3.61,-0.113539333333331,21.5333333333333,0.715727003888887,NA
"2011-12-02",669.17205,16.9,17,0.776960000000031,4.73333333333333,-0.355852666666669,21.5333333333333,-0.458869264444445,NA
"2011-12-03",668.09931,0.1,18,-1.07274000000006,4.73666666666667,-0.453448666666668,21.5333333333333,-0.387690908333334,NA
"2011-12-04",667.15369,1.05,20,-0.945619999999962,4.80666666666667,-0.572417333333335,21.6666666666667,-0.382513902777777,NA
"2011-12-05",667.13005,2,21,-0.0236400000000003,4.94,-0.538488666666664,21.7333333333333,-0.495912077499999,NA
"2011-12-06",666.82221,0,22,-0.307839999999941,4.94,-0.504377999999997,21.6,-0.414091908333332,NA
"2011-12-07",666.4311,5.1,23,-0.391110000000026,5.27333333333334,-0.406151333333332,21.6,-0.257962160555555,NA
"2011-12-08",665.95709,4.85,23,-0.474010000000021,4.72,-0.407182666666669,21.8,-0.429242571666668,NA
"2011-12-09",666.39147,5.5,22,0.434380000000032,5.08666666666667,-0.291209333333328,21.8,0.146406474722224,NA
"2011-12-10",671.70015,36.35,19,5.30867999999998,7.51,0.141393333333333,21.4666666666667,0.652007322222221,NA
"2011-12-11",675.5908,0,21,3.89064999999993,7.51,0.545345999999995,21.3333333333333,0.75991918861111,NA
"2011-12-12",676.42656,0,23,0.83576000000005,5.80333333333333,0.458846666666666,21.4,-0.1576537075,NA
"2011-12-13",676.42591,0,25,-0.000649999999950523,5.64,0.448349333333339,21.5333333333333,0.206161960833333,NA
"2011-12-14",677.17556,0.6,27,0.749649999999974,5.68,0.586508000000003,21.8666666666667,-0.131816026111109,NA
"2011-12-15",677.87638,4.1,24,0.700820000000021,5.73,0.635890666666667,21.8666666666667,0.0886002100000005,NA
"2011-12-16",677.15866,2.5,25,-0.717719999999985,5.27,0.584238000000004,22,0.540051632777777,NA
